               tagname               | round  | count  
 file-search                         |  2.231 |     26
 odt                                 |  2.231 |     26
 angular-activatedroute              |  2.231 |     13
 backport                            |  2.231 |     13
 notimplementedexception             |  2.231 |     13
 popularity                          |  2.231 |     13
 teamcity-7.0                        |  2.231 |     13
 wsgen                               |  2.231 |     13
 abstract-class                      |  2.228 |    681
 min                                 |  2.228 |    399
 visual-studio-2005                  |  2.227 |    401
 firebug                             |  2.227 |    357
 set-difference                      |  2.227 |     22
 puts                                |  2.226 |     31
 uitextfielddelegate                 |  2.225 |     80
 autorotate                          |  2.225 |     71
 explode                             |  2.224 |    246
 decoupling                          |  2.224 |     49
 jslint                              |  2.222 |    108
 wc                                  |  2.222 |     54
 dbnull                              |  2.222 |     36
 subversive                          |  2.222 |     36
 bitwise-xor                         |  2.222 |     27
 non-nullable                        |  2.222 |     27
 deferred-execution                  |  2.222 |     18
